Number,Age,Gender,Education,Country,Ethnicity,Alcohol,Cannabis
1,0.49788,0.48246,-0.05921,0.96082,0.126,CL5,CL0
2,-0.07854,-0.48246,1.98437,0.96082,-0.31685,CL5,CL4
3,0.49788,-0.48246,-0.05921,0.96082,-0.31685,CL6,CL3
4,-0.95197,0.48246,1.16365,0.96082,-0.31685,CL4,CL2
5,0.49788,0.48246,1.98437,0.96082,-0.31685,CL4,CL3
6,2.59171,0.48246,-1.22751,0.24923,-0.31685,CL2,CL0
7,1.09449,-0.48246,1.16365,-0.57009,-0.31685,CL6,CL1
8,0.49788,-0.48246,-1.7379,0.96082,-0.31685,CL5,CL0
9,0.49788,0.48246,-0.05921,0.24923,-0.31685,CL4,CL0
10,1.82213,-0.48246,1.16365,0.96082,-0.31685,CL6,CL1
11,-0.07854,0.48246,0.45468,0.96082,-0.31685,CL5,CL2
12,1.09449,-0.48246,-0.61113,-0.28519,-0.31685,CL5,CL4
13,1.82213,0.48246,0.45468,0.96082,-0.31685,CL5,CL3
14,1.82213,0.48246,-0.05921,0.24923,-0.31685,CL1,CL0
15,1.82213,0.48246,-0.05921,0.96082,-0.31685,CL6,CL0
16,1.82213,-0.48246,0.45468,0.96082,-0.31685,CL5,CL1
17,0.49788,0.48246,-0.61113,0.96082,-0.31685,CL6,CL3
18,1.09449,-0.48246,-1.7379,0.96082,-0.31685,CL6,CL6
19,1.82213,-0.48246,0.45468,-0.09765,-0.31685,CL6,CL3
20,0.49788,-0.48246,-0.05921,0.96082,-0.31685,CL4,CL1
21,1.09449,-0.48246,-0.05921,0.96082,-0.31685,CL6,CL2
22,2.59171,-0.48246,-2.43591,0.96082,-0.31685,CL5,CL1
23,1.09449,-0.48246,0.45468,0.96082,-0.31685,CL4,CL0
24,1.09449,-0.48246,-1.7379,0.96082,-0.31685,CL6,CL2
25,1.82213,-0.48246,0.45468,0.96082,-0.31685,CL5,CL1
26,1.09449,-0.48246,-0.61113,0.96082,-0.31685,CL5,CL1
27,1.82213,0.48246,-1.22751,0.24923,-0.31685,CL6,CL1
